ecoregion1,ecoregion2,proportion
Tumbes Piura dry forests,Cordillera Central paramo,1
Valdivian temperate forests,Cordillera Central paramo,0
Venezuelan Andes montane forests,Cordillera Central paramo,0
Araya and Paria xeric scrub,Cordillera La Costa montane forests,1
Atacama desert,Cordillera La Costa montane forests,0
Bolivian Yungas,Cordillera La Costa montane forests,0
Bolivian montane dry forests,Cordillera La Costa montane forests,0
Cauca Valley dry forests,Cordillera La Costa montane forests,0
Cauca Valley montane forests,Cordillera La Costa montane forests,0
Central Andean dry puna,Cordillera La Costa montane forests,0
Central Andean puna,Cordillera La Costa montane forests,0
Central Andean wet puna,Cordillera La Costa montane forests,0
Chilean matorral,Cordillera La Costa montane forests,0
Cordillera Central paramo,Cordillera La Costa montane forests,0
Cordillera Oriental montane forests,Cordillera La Costa montane forests,0.5
Cordillera de Merida paramo,Cordillera La Costa montane forests,1
Eastern Cordillera real montane forests,Cordillera La Costa montane forests,0
High Monte,Cordillera La Costa montane forests,0
La Costa xeric shrublands,Cordillera La Costa montane forests,1
Lake,Cordillera La Costa montane forests,0
Lara Falcon dry forests,Cordillera La Costa montane forests,1
Magdalena Valley dry forests,Cordillera La Costa montane forests,0
Magdalena Valley montane forests,Cordillera La Costa montane forests,0
Magellanic subpolar forests,Cordillera La Costa montane forests,0
Maranon dry forests,Cordillera La Costa montane forests,0
Northern Andean paramo,Cordillera La Costa montane forests,0.333333333
Northwestern Andean montane forests,Cordillera La Costa montane forests,0
Patagonian steppe,Cordillera La Costa montane forests,0
Patia Valley dry forests,Cordillera La Costa montane forests,0
Peruvian Yungas,Cordillera La Costa montane forests,0
Rock and Ice,Cordillera La Costa montane forests,0
Santa Marta montane forests,Cordillera La Costa montane forests,0
Santa Marta paramo,Cordillera La Costa montane forests,0
Southern Andean Yungas,Cordillera La Costa montane forests,0
Southern Andean steppe,Cordillera La Costa montane forests,0
Tumbes Piura dry forests,Cordillera La Costa montane forests,0
Valdivian temperate forests,Cordillera La Costa montane forests,0
Venezuelan Andes montane forests,Cordillera La Costa montane forests,0.5
Araya and Paria xeric scrub,Cordillera Oriental montane forests,0.5
Atacama desert,Cordillera Oriental montane forests,0
Bolivian Yungas,Cordillera Oriental montane forests,0
Bolivian montane dry forests,Cordillera Oriental montane forests,0
Cauca Valley dry forests,Cordillera Oriental montane forests,0.5
Cauca Valley montane forests,Cordillera Oriental montane forests,0.5
Central Andean dry puna,Cordillera Oriental montane forests,0
Central Andean puna,Cordillera Oriental montane forests,0
Central Andean wet puna,Cordillera Oriental montane forests,0
Chilean matorral,Cordillera Oriental montane forests,0
Cordillera Central paramo,Cordillera Oriental montane forests,0
Cordillera La Costa montane forests,Cordillera Oriental montane forests,0.5
Cordillera de Merida paramo,Cordillera Oriental montane forests,0.5
Eastern Cordillera real montane forests,Cordillera Oriental montane forests,0.25
High Monte,Cordillera Oriental montane forests,0
La Costa xeric shrublands,Cordillera Oriental montane forests,0.5
Lake,Cordillera Oriental montane forests,0
Lara Falcon dry forests,Cordillera Oriental montane forests,0.5
Magdalena Valley dry forests,Cordillera Oriental montane forests,0.5
Magdalena Valley montane forests,Cordillera Oriental montane forests,0.5
Magellanic subpolar forests,Cordillera Oriental montane forests,0
Maranon dry forests,Cordillera Oriental montane forests,0
Northern Andean paramo,Cordillera Oriental montane forests,0.666666667
Northwestern Andean montane forests,Cordillera Oriental montane forests,0.333333333
Patagonian steppe,Cordillera Oriental montane forests,0
Patia Valley dry forests,Cordillera Oriental montane forests,0.5
Peruvian Yungas,Cordillera Oriental montane forests,0
